"","X","libelle.complet","index","libelle","numero","rue","arrondissement","N_SQ_AD"
"197",198,"COLLÈGE CLAUDE DEBUSSY 4 PLACE DU COMMERCE - PARIS 15",198,"COLLÈGE CLAUDE DEBUSSY","4","PL DU COMMERCE",15,750109202
"198",199,"ECOLE MATERNELLE 38 RUE VIOLET - PARIS 15",199,"ECOLE MATERNELLE","38","RUE VIOLET",15,750118577
"199",200,"ECOLE ÉLÉMENTAIRE 12 RUE FONDARY - PARIS 15",200,"ECOLE ÉLÉMENTAIRE","12","RUE FONDARY",15,750111880
"200",201,"COLLÈGE JEAN MOULIN 75 RUE D'ALESIA - PARIS 14",201,"COLLÈGE JEAN MOULIN","75","RUE D'ALESIA",14,750098396
"201",202,"ECOLE MATERNELLE 83 RUE MADEMOISELLE - PARIS 15",202,"ECOLE MATERNELLE","83","RUE MADEMOISELLE",15,750114863
"202",203,"ECOLE ÉLÉMENTAIRE 81 RUE MADEMOISELLE - PARIS 15",203,"ECOLE ÉLÉMENTAIRE","81","RUE MADEMOISELLE",15,750114862
"203",204,"COLLÈGE CAMILLE SEE 11 RUE LEON LHERMITTE - PARIS 15",204,"COLLÈGE CAMILLE SEE","11","RUE LEON LHERMITTE",15,750114402
"204",205,"ECOLE MATERNELLE 17 RUE DES VOLONTAIRES - PARIS 15",205,"ECOLE MATERNELLE","17","RUE DES VOLONTAIRES",15,750118625
"205",206,"ECOLE ÉLÉMENTAIRE 19 RUE BLOMET - PARIS 15",206,"ECOLE ÉLÉMENTAIRE","19","RUE BLOMET",15,750107889
"206",207,"ECOLE MATERNELLE 66 RUE DE LA PROCESSION - PARIS 15",207,"ECOLE MATERNELLE","66","RUE DE LA PROCESSION",15,750116352
"207",208,"ECOLE ÉLÉMENTAIRE B 11 RUE VIGEE LEBRUN - PARIS 15",208,"ECOLE ÉLÉMENTAIRE B","11","RUE VIGEE LEBRUN",15,750118480
"208",209,"ECOLE ÉLÉMENTAIRE A 17 RUE VIGEE LEBRUN - PARIS 15",209,"ECOLE ÉLÉMENTAIRE A","17","RUE VIGEE LEBRUN",15,750118483
"209",210,"ECOLE MATERNELLE 15 RUE ARISTIDE MAILLOL - PARIS 15",210,"ECOLE MATERNELLE","15","RUE ARISTIDE MAILLOL",15,750107279
"210",211,"ECOLE MATERNELLE 42 RUE D'ALLERAY - PARIS 15",211,"ECOLE MATERNELLE","42","RUE D'ALLERAY",15,750106920
"211",212,"ECOLE ÉLÉMENTAIRE 3 RUE CORBON - PARIS 15",212,"ECOLE ÉLÉMENTAIRE","3","RUE CORBON",15,750109556
"212",213,"COLLÈGE MODIGLIANI 1 RUE DE CHERBOURG - PARIS 15",213,"COLLÈGE MODIGLIANI","1","RUE DE CHERBOURG",15,750109025
"213",214,"ECOLE MATERNELLE 40 RUE DES MORILLONS - PARIS 15",214,"ECOLE MATERNELLE","40","RUE DES MORILLONS",15,750115501
"214",215,"ECOLE ÉLÉMENTAIRE 15 RUE DE CHERBOURG - PARIS 15",215,"ECOLE ÉLÉMENTAIRE","15","RUE DE CHERBOURG",15,750109032
"215",216,"ECOLE MATERNELLE 102 RUE D'ALLERAY - PARIS 15",216,"ECOLE MATERNELLE","102","RUE D'ALLERAY",15,750106950
"216",217,"COLLÈGE BORIS VIAN 76 BOULEVARD BERTHIER - PARIS 17",217,"COLLÈGE BORIS VIAN","76","BD BERTHIER",17,750131534
