"","Code_voie","Type.de.voie","Nom.de.la.voie","N..D�but.exclu.sauf.0.","Bis.Ter.Quat.","N..fin.inclus","Bis.Ter.Quat..1","Pair..P..Impair..I.","Ecole"
"3482","2667","RUE","DELAMBRE",0,"",9999,"","p","Ecole maternelle 24 RUE DELAMBRE - PARIS 14"
"3483","2668","SQUARE","DELAMBRE",0,"",9999,"","i","Ecole maternelle 24 RUE DELAMBRE - PARIS 14"
"3484","2668","SQUARE","DELAMBRE",0,"",9999,"","p","Ecole maternelle 24 RUE DELAMBRE - PARIS 14"
"3485","2670","PASSAGE","DELANOS",0,"",9999,"","i","Ecole maternelle 23 PASSAGE DES RECOLLETS - PARIS 10"
"3486","2670","PASSAGE","DELANOS",0,"",9999,"","p","Ecole maternelle 23 PASSAGE DES RECOLLETS - PARIS 10"
"3487","2674","IMPASSE","DELAUNAY",0,"",9999,"","i","Ecole maternelle 5 CITE SOUZY - PARIS 11"
"3488","2674","IMPASSE","DELAUNAY",0,"",9999,"","i","Ecole maternelle 4-12 CITE SOUZY - PARIS 11"
"3489","2674","IMPASSE","DELAUNAY",0,"",9999,"","p","Ecole maternelle 5 CITE SOUZY - PARIS 11"
"3490","2674","IMPASSE","DELAUNAY",0,"",9999,"","p","Ecole maternelle 4-12 CITE SOUZY - PARIS 11"
"3491","2677","RUE","DELBET",0,"",9999,"","i","Ecole maternelle 48 RUE HIPPOLYTE MAINDRON - PARIS 14"
"3492","2677","RUE","DELBET",0,"",9999,"","p","Ecole maternelle 48 RUE HIPPOLYTE MAINDRON - PARIS 14"
"3493","2679","AVENUE","DELCASSE",0,"",9999,"","i","Ecole élémentaire 10 RUE PAUL BAUDRY - PARIS 08"
"3494","2679","AVENUE","DELCASSE",0,"",9999,"","p","Ecole élémentaire 10 RUE PAUL BAUDRY - PARIS 08"
"3495","2681","AVENUE","DELECOURT",0,"",9999,"","i","Ecole maternelle 38 RUE VIOLET - PARIS 15"
"3496","2681","AVENUE","DELECOURT",0,"",9999,"","p","Ecole maternelle 38 RUE VIOLET - PARIS 15"
"3497","2682","IMPASSE","DELEPINE",0,"",9999,"","i","Ecole maternelle 5 CITE SOUZY - PARIS 11"
"3498","2682","IMPASSE","DELEPINE",0,"",9999,"","i","Ecole maternelle 4-12 CITE SOUZY - PARIS 11"
"3499","2682","IMPASSE","DELEPINE",0,"",9999,"","p","Ecole maternelle 5 CITE SOUZY - PARIS 11"
"3500","2682","IMPASSE","DELEPINE",0,"",9999,"","p","Ecole maternelle 4-12 CITE SOUZY - PARIS 11"
"3501","2683","COUR","DELEPINE",0,"",9999,"","i","Ecole maternelle 4 PASSAGE BULLOURDE - PARIS 11"
"3502","2683","COUR","DELEPINE",0,"",9999,"","p","Ecole maternelle 4 PASSAGE BULLOURDE - PARIS 11"
"3503","2684","BOULEVARD","DELESSERT",0,"",9999,"","i","Ecole maternelle 25 RUE DE PASSY - PARIS 16"
"3504","2684","BOULEVARD","DELESSERT",0,"",9999,"","p","Ecole maternelle 25 RUE DE PASSY - PARIS 16"
"3505","2685","PASSAGE","DELESSERT",0,"",9999,"","i","Ecole maternelle 28 RUE DES ECLUSES ST MARTIN - PARIS 10"
"3506","2685","PASSAGE","DELESSERT",0,"",9999,"","p","Ecole maternelle 28 RUE DES ECLUSES ST MARTIN - PARIS 10"
